D,T,O,H,L,C,V
20190726,10:05:00,217.0000000,222.4600000,217.0000000,222.1000000,6442830
20190726,10:10:00,222.1800000,225.8800000,222.0000000,222.8600000,5773860
20190726,10:15:00,222.7300000,224.2300000,221.0000000,221.2100000,5460210
20190726,10:20:00,221.2200000,222.4000000,221.0000000,221.6900000,2161470
20190726,10:25:00,221.6900000,222.0900000,221.1200000,221.8600000,2542320
20190726,10:30:00,221.9000000,223.2000000,221.8600000,223.1500000,1902770
20190726,10:35:00,223.1800000,223.8900000,223.0000000,223.5600000,2435750
20190726,10:40:00,223.6400000,223.6900000,223.0000000,223.4000000,1171330
20190726,10:45:00,223.3100000,227.8900000,223.3000000,226.5800000,9886100
20190726,10:50:00,226.7300000,227.5000000,225.0900000,227.2300000,2925770
20190726,10:55:00,227.3700000,229.6200000,226.8200000,229.4100000,8063430
20190726,11:00:00,229.3200000,229.4800000,227.8100000,228.1500000,4286910
20190726,11:05:00,228.1500000,230.0000000,228.0000000,230.0000000,4549720
20190726,11:10:00,230.0000000,234.9900000,229.9900000,233.4900000,11412590
20190726,11:15:00,233.6700000,234.9900000,233.0000000,233.5600000,7140540
20190726,11:20:00,233.5600000,234.0000000,232.2200000,233.8700000,6863860
20190726,11:25:00,233.8700000,234.0000000,232.0500000,232.1700000,4249940
20190726,11:30:00,232.1100000,232.3900000,230.9700000,231.3100000,2934440
20190726,11:35:00,231.1300000,232.2700000,231.0000000,231.2200000,1456010
20190726,11:40:00,231.2400000,231.4900000,230.0200000,230.9400000,2494760
20190726,11:45:00,230.8000000,230.8600000,229.5100000,229.9100000,2386230
20190726,11:50:00,229.9000000,231.6500000,229.7000000,230.0000000,2519530
20190726,11:55:00,229.9900000,230.4300000,229.0000000,229.4000000,2021870
20190726,12:00:00,229.3500000,230.0000000,228.8300000,229.3600000,1575340
20190726,12:05:00,229.4700000,230.0000000,229.3800000,229.6000000,1526060
